timestamp,id,rating,price,reviewsCount,beds,bathrooms,bedrooms,isSuperhost
"2023-08-09_19-57","911513348279190365",,363,0,3,3.5,3,false
"2023-08-09_19-57","49289146",4.66,127,35,1,1,1,false
"2023-08-09_19-57","720661266843033969",,130,0,8,1,3,false
"2023-08-09_19-57","4975295",4.82,1071,165,5,1,3,true
"2023-08-09_19-57","952778170293455773",,117,0,2,1,29,false
"2023-08-09_19-57","952795138664101130",,117,0,2,1,29,false
"2023-08-09_19-57","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-09_19-57","700436264175104429",,125,2,1,1,1,false
"2023-08-09_19-57","1135017",4.82,1533,244,5,1,2,true
"2023-08-09_19-57","52928658",,102,1,1,1,1,false
"2023-08-09_19-57","738223953699753093",,498,2,8,4.5,5,false
"2023-08-09_19-57","656923504438316317",5,177,3,1,1.5,1,false
"2023-08-09_19-57","362397",,108,2,2,1.5,1,false
"2023-08-09_19-57","681106077934707988",,82,1,1,1,1,false
"2023-08-09_19-57","360703",,106,1,1,1,1,false
"2023-08-09_19-57","691080858048733845",4.67,177,3,2,1,1,false
"2023-08-09_19-57","824275397791228912",,491,2,4,1,3,false
"2023-08-09_19-57","932440401477692504",,232,0,5,2,4,false
"2023-08-09_19-57","2525482",,217,0,1,1,1,false
"2023-08-09_19-57","9274563",,71,0,1,1,1,false
"2023-08-09_19-57","846195481314256512",,257,0,2,1,1,false
"2023-08-09_19-57","795399737387937630",,137,0,1,1,1,false
"2023-08-09_19-57","693477363154191495",,363,0,1,1,1,false
"2023-08-09_20-02","38779697",5,141,17,3,1,1,true
"2023-08-09_20-02","675089063906234122",3.67,66,3,1,1,1,false
"2023-08-09_20-02","751917427436717495",,112,1,1,1,1,false
"2023-08-09_20-02","679491137006544063",,161,1,1,1,1,false
"2023-08-09_20-02","29330456",4.23,148,13,1,1,1,true
"2023-08-09_20-02","952797332426828573",,117,0,2,1,29,false
"2023-08-09_20-02","952226093011883507",,117,0,2,1,29,false
"2023-08-09_20-02","563837832132081096",4.97,550,38,2,2.5,3,true
"2023-08-09_20-02","953608158051410144",,82,0,1,1,1,false
"2023-08-09_20-02","918521180703335585",,169,0,4,1,2,false
"2023-08-09_20-02","593271107049526753",,72,2,1,1,1,false
"2023-08-09_20-02","789695697557271156",,374,2,2,2,2,false
"2023-08-09_20-02","607007628842731603",4.69,94,13,1,1,1,false
"2023-08-09_20-02","900722207959994655",,203,0,2,1,2,false
"2023-08-09_20-02","670259093980803412",3,104,3,2,1,1,false
"2023-08-09_20-02","35800034",5,162,5,0,2,1,false
"2023-08-09_20-02","911513348279190365",,363,0,3,3.5,3,false
"2023-08-09_20-02","49289146",4.66,127,35,1,1,1,false
"2023-08-09_20-02","720661266843033969",,130,0,8,1,3,false
"2023-08-09_20-02","4975295",4.82,1071,165,5,1,3,true
"2023-08-09_20-02","700436264175104429",,125,2,1,1,1,false
"2023-08-09_20-02","952778170293455773",,117,0,2,1,29,false
"2023-08-09_20-02","952795138664101130",,117,0,2,1,29,false
"2023-08-09_20-02","607002716040931633",4.29,94,7,1,1,1,false
"2023-08-09_20-02","1135017",4.82,1533,244,5,1,2,true
"2023-08-09_20-02","52928658",,102,1,1,1,1,false
